x;y;y_zwei
320;781400;1015820
321;867501;1127751.3
322;973101;1265031.3
323;859900;1117870
324;821100;1067430
325;962400;1251120
326;809300;1052090
327;813899;1058068.7
328;953801;1239941.3
329;806299;1048188.7
330;1086001;1411801.3
331;832700;1082510
332;1005000;1306500
333;824700;1072110
334;1009099;1311828.7
335;928700;1207310
336;901999;1172598.7
337;985099;1280628.7
338;986301;1282191.3
339;850400;1105520
340;901500;1171950
341;842700;1095510
342;828899;1077568.7
343;838399;1089918.7
344;896300;1165190
345;834200;1084460
346;836700;1087710
347;829201;1077961.3
348;871801;1133341.3
349;846600;1100580
350;967400;1257620
351;896001;1164801.3
352;888201;1154661.3
353;969900;1260870
354;871100;1132430
355;867399;1127618.7
356;897499;1166748.7
357;909700;1182610
358;1058200;1375660
359;1043400;1356420
360;881700;1146210
361;890799;1158038.7
362;898900;1168570
363;930301;1209391.3
364;915099;1189628.7
365;884100;1149330
366;871201;1132561.3
367;886501;1152451.3
368;934800;1215240
369;974101;1266331.3
370;942801;1225641.3
371;921701;1198211.3
372;933800;1213940
373;925499;1203148.7
374;892099;1159728.7
375;904600;1175980
376;921400;1197820
377;970499;1261648.7
378;997101;1296231.3
379;2703500;3514550
380;1169401;1520221.3
381;1196499;1555448.7
382;1356700;1763710
383;1185599;1541278.7
384;1209600;1572480
385;1124900;1462370
386;1109500;1442350
387;1147800;1492140
388;1178500;1532050
389;1089899;1416868.7
390;1132000;1471600
391;1210200;1573260
392;1319000;1714700
393;1164001;1513201.3
394;1210500;1573650
395;1155300;1501890
396;1099600;1429480
397;1159100;1506830
398;1214001;1578201.3
399;1171500;1522950
400;1157300;1504490
401;1172099;1523728.7
402;1304300;1695590
403;1046499;1360448.7
404;1290800;1678040
405;961299;1249688.7
406;998800;1298440
407;948399;1232918.7
408;1013800;1317940
409;1006301;1308191.3
410;971600;1263080
411;948800;1233440
412;914500;1188850
413;1118200;1453660
414;915001;1189501.3
415;921800;1198340
416;975700;1268410
417;931401;1210821.3
418;1122700;1459510
419;939900;1221870
420;938400;1219920
421;929300;1208090
422;932200;1211860
423;933200;1213160
424;1456601;1893581.3
425;1824100;2371330
426;1945601;2529281.3
427;2265801;2945541.3
428;1937801;2519141.3
429;1991600;2589080
430;2417001;3142101.3
431;1952100;2537730
432;2235400;2906020
433;2572900;3344770
434;2307999;3000398.7
435;1735399;2256018.7
436;2044600;2657980
437;1994599;2592978.7
438;1150600;1495780
439;987500;1283750
440;1153601;1499681.3
441;987200;1283360
442;1012301;1315991.3
443;978001;1271401.3
444;1009500;1312350
445;1073200;1395160
446;1017099;1322228.7
447;1029299;1338088.7
448;1034000;1344200
449;994900;1293370
450;998600;1298180
