x;time;ram
1000;3775355500;74257000
1050;3801092300;179193496
1100;4538526300;329374448
1150;4465954500;547991736
1200;4605183300;408238608
1250;4695566400;689483664
1300;4900124100;710184184
1350;5142533700;565957792
1400;5369285200;694806480
1450;5513004700;470693640
1500;5607751200;789095664
1550;5917794500;1008549360
1600;6050127100;475264520
1650;6276275300;267364928
1700;6502323500;315613864
1750;6673401400;657428096
1800;6889439800;1346293872
1850;7035831400;292183120
1900;7210173800;515313976
1950;7410410000;439176824
2000;7683431800;886823696
2050;7740316500;1211092776
2100;7749918000;139113920
2150;7858185400;932526752
2200;8162364100;1210838968
2250;8353723800;1205794792
2300;8470248100;343144160
2350;8781532400;1219427960
2400;8845152000;983722696
2450;9051253200;364044496
2500;9212915800;780047408
2550;9351923200;443382408
2600;9490151300;1270434416
2650;9810717100;616740480
2700;9983686700;352785776
2750;9876399000;652655712
2800;9323097800;840903640
2850;9406809600;286244056
2900;10802805900;808850624
2950;10834138400;1500149624
3000;11053500600;1346413808
3050;11275522600;1722501616
3100;11555678200;816369768
3150;11608588000;1277194920
3200;11752595800;1605742648
3250;12036654800;755725880
3300;12276075300;1203635552
3350;12434449600;1293907976
3400;12587057300;879692984
3450;12840517100;1465447024
3500;13052518500;1558274680
3550;13063402000;426826104
3600;13422280200;401358824
3650;13563088400;1455849992
3700;13559348500;172496952
3750;13600798200;1662866560
3800;13997736400;1746377544
3850;14399514600;573638664
3900;14177025300;763594280
3950;14500143900;1311495688
4000;14725986600;1980205448
4050;15420515900;1255898824
4100;15191112800;1146400680
4150;15202000700;298411416
4200;15452543200;587250768
4250;15867616100;1877767960
4300;16059737000;1460901608
4350;15811099800;1213249080
4400;16785140400;1519849000
4450;16675640400;1639046512
4500;15121317800;946287000
4550;14993511500;1557772264
4600;15083873600;1438254072
4650;15375713800;1046268024
4700;15603112400;1340244544
4750;15687459000;1277570944
4800;15767211900;1501451640
4850;15883943100;1077839472
4900;16216993000;1024568800
4950;16438930700;1496030616
5000;16476189400;713004016
5050;16617926900;1840828728
5100;16921570400;1494390312
5150;16977760600;1491678344
5200;17193651900;909621312
5250;17190448700;732338288
5300;17337743300;862888496
5350;17709391900;1800265384
5400;19375267200;607242424
5450;18141662000;338270456
5500;18127455700;1389331720
5550;18168667200;1275703592
5600;18390345800;1087257336
5650;18716782200;684722976
5700;18863107100;1195613760
5750;18879647400;1370421896
5800;18881999000;1966864128
5850;19174873300;1994503752
5900;19487524300;585346736
5950;19518321400;1441847912
6000;19830626300;492753728
6050;19974957400;846593992
6100;20233820000;1843669432
6150;20148871400;1641087624
6200;20264290600;1743220448
6250;20584475200;898576584
6300;20818470500;1187384984
6350;20929847300;1710114568
6400;21019693400;1934203904
6450;21366808600;543800720
6500;21357890400;1454978112
6550;21309356100;424867816
6600;21835468400;1393739928
6650;21774564800;564250864
6700;22911837000;562633696
6750;24117042400;664286024
6800;22516161500;1354462312
6850;22685668600;2206841008
6900;23273321400;1067788680
6950;23164988600;1564119360
7000;23482896300;1288057304
7050;23470093200;1077461760
7100;23984807300;1917211016
7150;24940677700;1967533600
7200;24392098500;708930824
7250;23763326100;656137536
7300;23992420300;1439762256
7350;24191431400;1674472792
7400;24421770900;2003892432
7450;24350448300;1438291704
7500;25620608100;1013643768
7550;26418948200;1130677016
7600;26593748500;1836367824
7650;27070373900;1466163032
7700;28468610100;1886408568
7750;29191172100;1629378544
7800;27945992800;2049497280
7850;28355045000;2264898656
7900;28618145000;1261573160
7950;28606552500;1296163352
8000;28592011500;456028704
8050;28673563000;748098000
8100;28683787700;1730408640
8150;29248929100;439885520
8200;28480644700;528695360
8250;28629844000;1353450312
8300;28787058300;1036471232
8350;30614358800;1374528104
8400;30443030800;2182964416
8450;30477985900;2235225528
8500;32007678200;1316296584
8550;30361637700;631836440
8600;31934278500;1112559040
8650;31314184700;1044401352
8700;30855938000;1885058192
8750;31209142700;1079153856
8800;31144657800;667928304
8850;31671878000;1692892432
8900;31566064400;734699120
8950;32536347200;418171456
9000;33185072500;857332656
9050;35099315600;1448641848
9100;33477197799;1658977480
9150;32812474200;1521123632
9200;33765497300;433494248
9250;32974353200;2103580448
9300;32130449700;1053497432
9350;32744892799;1633607912
9400;33119206100;631410440
9450;34318594700;1853544800
9500;33613032400;1636052784
9550;34143517699;1988963560
9600;35313098500;2042956336
9650;35908754900;1793315352
9700;36214186100;663790808
9750;36777617899;1817255936
9800;35995916400;1681639424
9850;35883965399;1758346656
9900;35633833401;948873528
9950;35569748300;1095191528
10000;35555876300;1868414392
10050;35567860500;1723070536
10100;39667363900;609533400
10150;39741367599;1067568176
10200;38905967000;840703688
10250;37765029900;600473480
10300;37968565800;1095452464
10350;38353734201;1679643640
10400;38677314200;2163131424
10450;39195783901;1341037464
10500;40675997300;1869064936
10550;39752071701;1577065424
10600;40473155600;1631845288
10650;39873063600;1166938688
10700;41066647100;742959792
10750;49065572900;675168592
10800;41241606600;682734808
10850;40698936200;1577540408
10900;43424416300;2157231408
10950;38780120700;913399296
11000;38790651900;659888840
11050;38690838800;1047320968
11100;39020023900;1132467472
11150;39900521800;1439947200
11200;45446953400;1021400072
11250;43018571100;1575950840
11300;46690702100;2253590112
11350;44311050400;1474083472
11400;42548465400;1137456240
11450;42823129700;2271487288
11500;41579545200;2215943440
11550;41055938600;1196860912
11600;41285932500;729089680
11650;41356748400;506486248
11700;41083373200;555303592
11750;42925141000;1753162232
11800;43800834800;1036877504
11850;45957349400;2093192584
11900;42159466500;1394014456
11950;43737066000;1759701648
12000;43468515100;867880712
12050;43108610000;1135150880
12100;44347165300;2136381848
12150;44670878700;1498434448
12200;45381525400;427560448
12250;44568675600;575327680
12300;43995688200;901152672
12350;45492692300;2196799056
12400;45079283200;734119432
12450;43932771600;2066259904
12500;46561418700;608014752
12550;45008633400;1189292744
12600;45760969500;1233499200
12650;45636111000;1887868168
12700;45821853600;2098086496
12750;46131573300;2222838096
12800;48309887800;749063272
12850;47245726100;953881656
12900;46910611200;875107576
12950;46766289100;2279230968
13000;46739073900;1113168720
13050;47351136600;1883862880
13100;47820587800;1755560480
13150;48731141500;1637721248
13200;48735989100;484267728
13250;50904828400;1527217472
13300;46829129400;618683296
13350;46856113400;1711663464
13400;47406221100;883316320
13450;47331140700;1288519472
